Year,Price,Mileage,Trim
2016,36999,15938,2
2015,32998,39894,1
2016,34900,36176,2
2018,46885,7203,2
2019,61225,1536,2
2016,34999,23555,2
2017,43863,24560,2
2010,12990,94821,2
2015,32875,33438,2
2018,48400,5751,2
2016,39987,26541,2
2010,13999,103277,3
2016,33598,40882,2
2016,35000,31999,2
2016,37929,30325,2
2015,37899,44781,3
2016,32926,72147,2
2016,38981,44844,2
2016,40469,36374,2
2014,28993,68142,2
2013,19950,71415,2
2016,45995,8742,2
2016,40039,31676,2
2015,31995,55948,2
2018,52975,6260,2
2016,43994,19755,2
2016,34926,65764,2
2015,42000,33190,3
2015,37990,24590,2
2016,35984,52767,2
2015,37899,44781,3
2016,32926,72147,2
2016,38981,44844,2
2016,40469,36374,2
2014,28993,68142,2
2013,19950,71415,2
2016,45995,8742,2
2016,40039,31676,2
2015,31995,55948,2
2018,52975,6260,2
2016,43994,19755,2
2016,34926,65764,2
2015,42000,33190,3
2015,37990,24590,2
2016,35984,52767,2
2015,37899,44781,3
2016,32926,72147,2
2016,38981,44844,2
2016,40469,36374,2
2014,28993,68142,2
2013,19950,71415,2
2016,45995,8742,2
2016,40039,31676,2
2015,31995,55948,2
2018,52975,6260,2
2016,43994,19755,2
2016,34926,65764,2
2015,42000,33190,3
2015,37990,24590,2
2016,35984,52767,2
2015,37899,44781,3
2016,32926,72147,2
2016,38981,44844,2
2016,40469,36374,2
2014,28993,68142,2
2013,19950,71415,2
2016,45995,8742,2
2016,40039,31676,2
2015,31995,55948,2
2018,52975,6260,2
2016,43994,19755,2
2016,34926,65764,2
2015,42000,33190,3
2015,37990,24590,2
2016,35984,52767,2
2015,37899,44781,3
2016,32926,72147,2
2016,38981,44844,2
2016,40469,36374,2
2014,28993,68142,2
2013,19950,71415,2
2016,45995,8742,2
2016,40039,31676,2
2015,31995,55948,2
2018,52975,6260,2
2016,43994,19755,2
2016,34926,65764,2
2015,42000,33190,3
2015,37990,24590,2
2016,35984,52767,2
2015,37899,44781,3
2016,32926,72147,2
2016,38981,44844,2
2016,40469,36374,2
2014,28993,68142,2
2013,19950,71415,2
2016,45995,8742,2
2016,40039,31676,2
2015,31995,55948,2
2018,52975,6260,2
2016,43994,19755,2
2016,34926,65764,2
2015,42000,33190,3
2015,37990,24590,2
2016,35984,52767,2
2015,37899,44781,3
2016,32926,72147,2
2016,38981,44844,2
2016,40469,36374,2
2014,28993,68142,2
2013,19950,71415,2
2016,45995,8742,2
2016,40039,31676,2
2015,31995,55948,2
2018,52975,6260,2
2016,43994,19755,2
2016,34926,65764,2
2015,42000,33190,3
2015,37990,24590,2
2016,35984,52767,2
2015,37899,44781,3
2016,32926,72147,2
2016,38981,44844,2
2016,40469,36374,2
2014,28993,68142,2
2013,19950,71415,2
2016,45995,8742,2
2016,40039,31676,2
2015,31995,55948,2
2018,52975,6260,2
2016,43994,19755,2
2016,34926,65764,2
2015,42000,33190,3
2015,37990,24590,2
2016,35984,52767,2
2015,37899,44781,3
2016,32926,72147,2
2016,38981,44844,2
2016,40469,36374,2
2014,28993,68142,2
2013,19950,71415,2
2016,45995,8742,2
2016,40039,31676,2
2015,31995,55948,2
2018,52975,6260,2
2016,43994,19755,2
2016,34926,65764,2
2015,42000,33190,3
2015,37990,24590,2
2016,35984,52767,2
2015,37899,44781,3
2016,32926,72147,2
2016,38981,44844,2
2016,40469,36374,2
2014,28993,68142,2
2013,19950,71415,2
2016,45995,8742,2
2016,40039,31676,2
2015,31995,55948,2
2018,52975,6260,2
2016,43994,19755,2
2016,34926,65764,2
2015,42000,33190,3
2015,37990,24590,2
2016,35984,52767,2
2015,37899,44781,3
2016,32926,72147,2
2016,38981,44844,2
2016,40469,36374,2
2014,28993,68142,2
2013,19950,71415,2
2016,45995,8742,2
2016,40039,31676,2
2015,31995,55948,2
2018,52975,6260,2
2016,43994,19755,2
2016,34926,65764,2
2015,42000,33190,3
2015,37990,24590,2
2016,35984,52767,2
2015,37899,44781,3
2016,32926,72147,2
2016,38981,44844,2
2016,40469,36374,2
2014,28993,68142,2
2013,19950,71415,2
2016,45995,8742,2
2016,40039,31676,2
2015,31995,55948,2
2018,52975,6260,2
2016,43994,19755,2
2016,34926,65764,2
2015,42000,33190,3
2015,37990,24590,2
2016,35984,52767,2
2015,37899,44781,3
2016,32926,72147,2
2016,38981,44844,2
2016,40469,36374,2
2014,28993,68142,2
2013,19950,71415,2
2016,45995,8742,2
2016,40039,31676,2
2015,31995,55948,2
2018,52975,6260,2
2016,43994,19755,2
2016,34926,65764,2
2015,42000,33190,3
2015,37990,24590,2
2016,35984,52767,2
2015,37899,44781,3
2016,32926,72147,2
2016,38981,44844,2
2016,40469,36374,2
2014,28993,68142,2
2013,19950,71415,2
2016,45995,8742,2
2016,40039,31676,2
2015,31995,55948,2
2018,52975,6260,2
2016,43994,19755,2
2016,34926,65764,2
2015,42000,33190,3
2015,37990,24590,2
2016,35984,52767,2
2015,37899,44781,3
2016,32926,72147,2
2016,38981,44844,2
2016,40469,36374,2
2014,28993,68142,2
2013,19950,71415,2
2016,45995,8742,2
2016,40039,31676,2
2015,31995,55948,2
2018,52975,6260,2
2016,43994,19755,2
2016,34926,65764,2
2015,42000,33190,3
2015,37990,24590,2
2016,35984,52767,2
2015,37899,44781,3
2016,32926,72147,2
2016,38981,44844,2
2016,40469,36374,2
2014,28993,68142,2
2013,19950,71415,2
2016,45995,8742,2
2016,40039,31676,2
2015,31995,55948,2
2018,52975,6260,2
2016,43994,19755,2
2016,34926,65764,2
2015,42000,33190,3
2015,37990,24590,2
2016,35984,52767,2
2015,37899,44781,3
2016,32926,72147,2
2016,38981,44844,2
2016,40469,36374,2
2014,28993,68142,2
2013,19950,71415,2
2016,45995,8742,2
2016,40039,31676,2
2015,31995,55948,2
2018,52975,6260,2
2016,43994,19755,2
2016,34926,65764,2
2015,42000,33190,3
2015,37990,24590,2
2016,35984,52767,2
2015,37899,44781,3
2016,32926,72147,2
2016,38981,44844,2
2016,40469,36374,2
2014,28993,68142,2
2013,19950,71415,2
2016,45995,8742,2
2016,40039,31676,2
2015,31995,55948,2
2018,52975,6260,2
2016,43994,19755,2
2016,34926,65764,2
2015,42000,33190,3
2015,37990,24590,2
2016,35984,52767,2
2015,37899,44781,3
2016,32926,72147,2
2016,38981,44844,2
2016,40469,36374,2
2014,28993,68142,2
2013,19950,71415,2
2016,45995,8742,2
2016,40039,31676,2
2015,31995,55948,2
2018,52975,6260,2
2016,43994,19755,2
2016,34926,65764,2
2015,42000,33190,3
2015,37990,24590,2
2016,35984,52767,2
2015,37899,44781,3
2016,32926,72147,2
2016,38981,44844,2
2016,40469,36374,2
2014,28993,68142,2
2013,19950,71415,2
2016,45995,8742,2
2016,40039,31676,2
2015,31995,55948,2
2018,52975,6260,2
2016,43994,19755,2
2016,34926,65764,2
2015,42000,33190,3
2015,37990,24590,2
2016,35984,52767,2
2015,37899,44781,3
2016,32926,72147,2
2016,38981,44844,2
2016,40469,36374,2
2014,28993,68142,2
2013,19950,71415,2
2016,45995,8742,2
2016,40039,31676,2
2015,31995,55948,2
2018,52975,6260,2
2016,43994,19755,2
2016,34926,65764,2
2015,42000,33190,3
2015,37990,24590,2
2016,35984,52767,2
2015,37899,44781,3
2016,32926,72147,2
2016,38981,44844,2
2016,40469,36374,2
2014,28993,68142,2
2013,19950,71415,2
2016,45995,8742,2
2016,40039,31676,2
2015,31995,55948,2
2018,52975,6260,2
2016,43994,19755,2
2016,34926,65764,2
2015,42000,33190,3
2015,37990,24590,2
2016,35984,52767,2
2015,37899,44781,3
2016,32926,72147,2
2016,38981,44844,2
2016,40469,36374,2
2014,28993,68142,2
2013,19950,71415,2
2016,45995,8742,2
2016,40039,31676,2
2015,31995,55948,2
2018,52975,6260,2
2016,43994,19755,2
2016,34926,65764,2
2015,42000,33190,3
2015,37990,24590,2
2016,35984,52767,2
2015,37899,44781,3
2016,32926,72147,2
2016,38981,44844,2
2016,40469,36374,2
2014,28993,68142,2
2013,19950,71415,2
2016,45995,8742,2
2016,40039,31676,2
2015,31995,55948,2
2018,52975,6260,2
2016,43994,19755,2
2016,34926,65764,2
2015,42000,33190,3
2015,37990,24590,2
2016,35984,52767,2
2015,37899,44781,3
2016,32926,72147,2
2016,38981,44844,2
2016,40469,36374,2
2014,28993,68142,2
2013,19950,71415,2
2016,45995,8742,2
2016,40039,31676,2
2015,31995,55948,2
2018,52975,6260,2
2016,43994,19755,2
2016,34926,65764,2
2015,42000,33190,3
2015,37990,24590,2
2016,35984,52767,2
2015,37899,44781,3
2016,32926,72147,2
2016,38981,44844,2
2016,40469,36374,2
2014,28993,68142,2
2013,19950,71415,2
2016,45995,8742,2
2016,40039,31676,2
2015,31995,55948,2
2018,52975,6260,2
2016,43994,19755,2
2016,34926,65764,2
2015,42000,33190,3
2015,37990,24590,2
2016,35984,52767,2
2015,37899,44781,3
2016,32926,72147,2
2016,38981,44844,2
2016,40469,36374,2
2014,28993,68142,2
2013,19950,71415,2
2016,45995,8742,2
2016,40039,31676,2
2015,31995,55948,2
2018,52975,6260,2
2016,43994,19755,2
2016,34926,65764,2
2015,42000,33190,3
2015,37990,24590,2
2016,35984,52767,2
2015,37899,44781,3
2016,32926,72147,2
2016,38981,44844,2
2016,40469,36374,2
2014,28993,68142,2
2013,19950,71415,2
2016,45995,8742,2
2016,40039,31676,2
2015,31995,55948,2
2018,52975,6260,2
2016,43994,19755,2
2016,34926,65764,2
2015,42000,33190,3
2015,37990,24590,2
2016,35984,52767,2
2015,37899,44781,3
2016,32926,72147,2
2016,38981,44844,2
2016,40469,36374,2
2014,28993,68142,2
2013,19950,71415,2
2016,45995,8742,2
2016,40039,31676,2
2015,31995,55948,2
2018,52975,6260,2
2016,43994,19755,2
2016,34926,65764,2
2015,42000,33190,3
2015,37990,24590,2
2016,35984,52767,2
2015,37899,44781,3
2016,32926,72147,2
2016,38981,44844,2
2016,40469,36374,2
2014,28993,68142,2
2013,19950,71415,2
2016,45995,8742,2
2016,40039,31676,2
2015,31995,55948,2
2018,52975,6260,2
2016,43994,19755,2
2016,34926,65764,2
2015,42000,33190,3
2015,37990,24590,2
2016,35984,52767,2
2015,37899,44781,3
2016,32926,72147,2
2016,38981,44844,2
2016,40469,36374,2
2014,28993,68142,2
2013,19950,71415,2
2016,45995,8742,2
2016,40039,31676,2
2015,31995,55948,2
2018,52975,6260,2
2016,43994,19755,2
2016,34926,65764,2
2015,42000,33190,3
2015,37990,24590,2
2016,35984,52767,2
2015,37899,44781,3
2016,32926,72147,2
2016,38981,44844,2
2016,40469,36374,2
2014,28993,68142,2
2013,19950,71415,2
2016,45995,8742,2
2016,40039,31676,2
2015,31995,55948,2
2018,52975,6260,2
2016,43994,19755,2
2016,34926,65764,2
2015,42000,33190,3
2015,37990,24590,2
2016,35984,52767,2
2015,37899,44781,3
2016,32926,72147,2
2016,38981,44844,2
2016,40469,36374,2
2014,28993,68142,2
2013,19950,71415,2
2016,45995,8742,2
2016,40039,31676,2
2015,31995,55948,2
2018,52975,6260,2
2016,43994,19755,2
2016,34926,65764,2
2015,42000,33190,3
2015,37990,24590,2
2016,35984,52767,2
2015,37899,44781,3
2016,32926,72147,2
2016,38981,44844,2
2016,40469,36374,2
2014,28993,68142,2
2013,19950,71415,2
2016,45995,8742,2
2016,40039,31676,2
2015,31995,55948,2
2018,52975,6260,2
2016,43994,19755,2
2016,34926,65764,2
2015,42000,33190,3
2015,37990,24590,2
2016,35984,52767,2
2015,37899,44781,3
2016,32926,72147,2
2016,38981,44844,2
2016,40469,36374,2
2014,28993,68142,2
2013,19950,71415,2
2016,45995,8742,2
2016,40039,31676,2
2015,31995,55948,2
2018,52975,6260,2
2016,43994,19755,2
2016,34926,65764,2
2015,42000,33190,3
2015,37990,24590,2
2016,35984,52767,2
2015,37899,44781,3
2016,32926,72147,2
2016,38981,44844,2
2016,40469,36374,2
2014,28993,68142,2
2013,19950,71415,2
2016,45995,8742,2
2016,40039,31676,2
2015,31995,55948,2
2018,52975,6260,2
2016,43994,19755,2
2016,34926,65764,2
2015,42000,33190,3
2015,37990,24590,2
2016,35984,52767,2
2015,37899,44781,3
2016,32926,72147,2
2016,38981,44844,2
2016,40469,36374,2
2014,28993,68142,2
2013,19950,71415,2
2016,45995,8742,2
2016,40039,31676,2
2015,31995,55948,2
2018,52975,6260,2
2016,43994,19755,2
2016,34926,65764,2
2015,42000,33190,3
2015,37990,24590,2
2016,35984,52767,2
2015,37899,44781,3
2016,32926,72147,2
2016,38981,44844,2
2016,40469,36374,2
2014,28993,68142,2
2013,19950,71415,2
2016,45995,8742,2
2016,40039,31676,2
2015,31995,55948,2
2018,52975,6260,2
2016,43994,19755,2
2016,34926,65764,2
2015,42000,33190,3
2015,37990,24590,2
2016,35984,52767,2
2015,37899,44781,3
2016,32926,72147,2
2016,38981,44844,2
2016,40469,36374,2
2014,28993,68142,2
2013,19950,71415,2
2016,45995,8742,2
2016,40039,31676,2
2015,31995,55948,2
2018,52975,6260,2
2016,43994,19755,2
2016,34926,65764,2
2015,42000,33190,3
2015,37990,24590,2
2016,35984,52767,2
2015,37899,44781,3
2016,32926,72147,2
2016,38981,44844,2
2016,40469,36374,2
2014,28993,68142,2
2013,19950,71415,2
2016,45995,8742,2
2016,40039,31676,2
2015,31995,55948,2
2018,52975,6260,2
2016,43994,19755,2
2016,34926,65764,2
2015,42000,33190,3
2015,37990,24590,2
2016,35984,52767,2
2015,37899,44781,3
2016,32926,72147,2
2016,38981,44844,2
2016,40469,36374,2
2014,28993,68142,2
2013,19950,71415,2
2016,45995,8742,2
2016,40039,31676,2
2015,31995,55948,2
2018,52975,6260,2
2016,43994,19755,2
2016,34926,65764,2
2015,42000,33190,3
2015,37990,24590,2
2016,35984,52767,2
2015,37899,44781,3
2016,32926,72147,2
2016,38981,44844,2
2016,40469,36374,2
2014,28993,68142,2
2013,19950,71415,2
2016,45995,8742,2
2016,40039,31676,2
2015,31995,55948,2
2018,52975,6260,2
2016,43994,19755,2
2016,34926,65764,2
2015,42000,33190,3
2015,37990,24590,2
2016,35984,52767,2
2015,37899,44781,3
2016,32926,72147,2
2016,38981,44844,2
2016,40469,36374,2
2014,28993,68142,2
2013,19950,71415,2
2016,45995,8742,2
2016,40039,31676,2
2015,31995,55948,2
2018,52975,6260,2
2016,43994,19755,2
2016,34926,65764,2
2015,42000,33190,3
2015,37990,24590,2
2016,35984,52767,2
2015,37899,44781,3
2016,32926,72147,2
2016,38981,44844,2
2016,40469,36374,2
2014,28993,68142,2
2013,19950,71415,2
2016,45995,8742,2
2016,40039,31676,2
2015,31995,55948,2
2018,52975,6260,2
2016,43994,19755,2
2016,34926,65764,2
2015,42000,33190,3
2015,37990,24590,2
2016,35984,52767,2
2015,37899,44781,3
2016,32926,72147,2
2016,38981,44844,2
2016,40469,36374,2
2014,28993,68142,2
2013,19950,71415,2
2016,45995,8742,2
2016,40039,31676,2
2015,31995,55948,2
2018,52975,6260,2
2016,43994,19755,2
2016,34926,65764,2
2015,42000,33190,3
2015,37990,24590,2
2016,35984,52767,2
2015,37899,44781,3
2016,32926,72147,2
2016,38981,44844,2
2016,40469,36374,2
2014,28993,68142,2
2013,19950,71415,2
2016,45995,8742,2
2016,40039,31676,2
2015,31995,55948,2
2018,52975,6260,2
2016,43994,19755,2
2016,34926,65764,2
2015,42000,33190,3
2015,37990,24590,2
2016,35984,52767,2
2015,37899,44781,3
2016,32926,72147,2
2016,38981,44844,2
2016,40469,36374,2
2014,28993,68142,2
2013,19950,71415,2
2016,45995,8742,2
2016,40039,31676,2
2015,31995,55948,2
2018,52975,6260,2
2016,43994,19755,2
2016,34926,65764,2
2015,42000,33190,3
2015,37990,24590,2
2016,35984,52767,2
2015,37899,44781,3
2016,32926,72147,2
2016,38981,44844,2
2016,40469,36374,2
2014,28993,68142,2
2013,19950,71415,2
2016,45995,8742,2
2016,40039,31676,2
2015,31995,55948,2
2018,52975,6260,2
2016,43994,19755,2
2016,34926,65764,2
2015,42000,33190,3
2015,37990,24590,2
2016,35984,52767,2
2015,37899,44781,3
2016,32926,72147,2
2016,38981,44844,2
2016,40469,36374,2
2014,28993,68142,2
2013,19950,71415,2
2016,45995,8742,2
2016,40039,31676,2
2015,31995,55948,2
2018,52975,6260,2
2016,43994,19755,2
2016,34926,65764,2
2015,42000,33190,3
2015,37990,24590,2
2016,35984,52767,2
2015,37899,44781,3
2016,32926,72147,2
2016,38981,44844,2
2016,40469,36374,2
2014,28993,68142,2
2013,19950,71415,2
2016,45995,8742,2
2016,40039,31676,2
2015,31995,55948,2
2018,52975,6260,2
2016,43994,19755,2
2016,34926,65764,2
2015,42000,33190,3
2015,37990,24590,2
2016,35984,52767,2
2015,37899,44781,3
2016,32926,72147,2
2016,38981,44844,2
2016,40469,36374,2
2014,28993,68142,2
2013,19950,71415,2
2016,45995,8742,2
2016,40039,31676,2
2015,31995,55948,2
2018,52975,6260,2
2016,43994,19755,2
2016,34926,65764,2
2015,42000,33190,3
2015,37990,24590,2
2016,35984,52767,2
2015,37899,44781,3
2016,32926,72147,2
2016,38981,44844,2
2016,40469,36374,2
2014,28993,68142,2
2013,19950,71415,2
2016,45995,8742,2
2016,40039,31676,2
2015,31995,55948,2
2018,52975,6260,2
2016,43994,19755,2
2016,34926,65764,2
2015,42000,33190,3
2015,37990,24590,2
2016,35984,52767,2
2015,37899,44781,3
2016,32926,72147,2
2016,38981,44844,2
2016,40469,36374,2
2014,28993,68142,2
2013,19950,71415,2
2016,45995,8742,2
2016,40039,31676,2
2015,31995,55948,2
2018,52975,6260,2
2016,43994,19755,2
2016,34926,65764,2
2015,42000,33190,3
2015,37990,24590,2
2016,35984,52767,2
2015,37899,44781,3
2016,32926,72147,2
2016,38981,44844,2
2016,40469,36374,2
2014,28993,68142,2
2013,19950,71415,2
2016,45995,8742,2
2016,40039,31676,2
2015,31995,55948,2
2018,52975,6260,2
2016,43994,19755,2
2016,34926,65764,2
2015,42000,33190,3
2015,37990,24590,2
2016,35984,52767,2
2015,37899,44781,3
2016,32926,72147,2
2016,38981,44844,2
2016,40469,36374,2
2014,28993,68142,2
2013,19950,71415,2
2016,45995,8742,2
2016,40039,31676,2
2015,31995,55948,2
2018,52975,6260,2
2016,43994,19755,2
2016,34926,65764,2
2015,42000,33190,3
2015,37990,24590,2
2016,35984,52767,2
2015,37899,44781,3
2016,32926,72147,2
2016,38981,44844,2
2016,40469,36374,2
2014,28993,68142,2
2013,19950,71415,2
2016,45995,8742,2
2016,40039,31676,2
2015,31995,55948,2
2018,52975,6260,2
2016,43994,19755,2
2016,34926,65764,2
2015,42000,33190,3
2015,37990,24590,2
2016,35984,52767,2
2015,37899,44781,3
2016,32926,72147,2
2016,38981,44844,2
2016,40469,36374,2
2014,28993,68142,2
2013,19950,71415,2
2016,45995,8742,2
2016,40039,31676,2
2015,31995,55948,2
2018,52975,6260,2
2016,43994,19755,2
2016,34926,65764,2
2015,42000,33190,3
2015,37990,24590,2
2016,35984,52767,2
2015,37899,44781,3
2016,32926,72147,2
2016,38981,44844,2
2016,40469,36374,2
2014,28993,68142,2
2013,19950,71415,2
2016,45995,8742,2
2016,40039,31676,2
2015,31995,55948,2
2018,52975,6260,2
2016,43994,19755,2
2016,34926,65764,2
2015,42000,33190,3
2015,37990,24590,2
2016,35984,52767,2
2015,37899,44781,3
2016,32926,72147,2
2016,38981,44844,2
2016,40469,36374,2
2014,28993,68142,2
2013,19950,71415,2
2016,45995,8742,2
2016,40039,31676,2
2015,31995,55948,2
2018,52975,6260,2
2016,43994,19755,2
2016,34926,65764,2
2015,42000,33190,3
2015,37990,24590,2
2016,35984,52767,2
2015,37899,44781,3
2016,32926,72147,2
2016,38981,44844,2
2016,40469,36374,2
2014,28993,68142,2
2013,19950,71415,2
2016,45995,8742,2
2016,40039,31676,2
2015,31995,55948,2
2018,52975,6260,2
2016,43994,19755,2
2016,34926,65764,2
2015,42000,33190,3
2015,37990,24590,2
2016,35984,52767,2
2015,37899,44781,3
2016,32926,72147,2
2016,38981,44844,2
2016,40469,36374,2
